,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size,kda
67,5132869563,1,False,3335,22,0,50,1575002197,,4,12,19,1.0,0,,1.9166666666666667
68,5132844590,3,True,1728,22,0,106,1575000108,,15,2,10,1.0,0,,12.5
69,5123669614,129,True,1941,22,7,26,1574455152,,6,14,10,1.0,0,,1.1428571428571428
70,5123637664,1,True,1716,22,7,25,1574452999,,14,5,14,1.0,0,,5.6
71,5123588848,129,False,2511,22,7,6,1574450070,,7,6,13,,0,,3.3333333333333335
72,5123357427,2,False,6267,22,7,8,1574438414,,20,11,31,,0,,4.636363636363637
73,5122842018,4,True,2845,22,7,23,1574415252,,7,3,28,1.0,0,,11.666666666666666
74,5122792123,129,False,2550,22,7,28,1574411716,,5,11,26,,0,,2.8181818181818183
75,5122752176,132,False,2252,22,7,60,1574408720,,6,4,23,1.0,0,,7.25
76,5122714172,132,True,2060,22,7,114,1574405815,,4,8,9,,0,,1.625
77,5114149551,0,False,1580,22,7,105,1573840472,,1,11,0,1.0,3,,0.09090909090909091
78,5114082367,128,False,2913,22,7,68,1573837094,,7,2,24,,0,,15.5
79,5114012743,130,False,2682,22,7,27,1573833961,,9,3,19,1.0,0,,9.333333333333334
80,5113950563,130,True,2089,22,7,1,1573831402,,4,5,5,1.0,0,,1.8
81,5109770189,128,True,2723,22,7,44,1573546913,,13,4,8,,0,,5.25
82,5109737441,2,False,2031,22,7,54,1573544355,,10,5,6,1.0,0,,3.2
83,5109696801,128,False,2933,22,7,67,1573541033,,14,4,27,1.0,0,,10.25
84,5104158384,128,False,3148,22,7,89,1573209081,,18,2,12,,0,,15.0
85,5101735928,3,False,2072,22,7,10,1573041445,,2,13,6,1.0,0,,0.6153846153846154
86,5101682354,129,False,2341,22,7,58,1573038709,,13,1,9,1.0,0,,22.0
87,5101622567,3,True,3061,22,7,41,1573035154,,15,4,23,,0,,9.5
88,5094360939,2,True,2671,22,7,84,1572598782,,7,5,25,1.0,0,,6.4
89,5094302802,130,True,3171,22,7,100,1572595077,,11,5,29,1.0,0,,8.0
90,5092910406,2,False,2968,22,0,72,1572506784,21.0,2,15,8,1.0,0,5.0,0.6666666666666666
91,5091857019,0,True,2513,22,7,75,1572436086,,4,9,13,,0,,1.8888888888888888
92,5091797539,128,False,2494,22,7,75,1572433031,,3,8,23,1.0,0,,3.25
93,5091726806,3,False,2849,22,7,4,1572428750,,11,5,10,1.0,0,,4.2
94,5091664393,130,True,2653,22,7,96,1572424521,,5,10,14,,0,,1.9
95,5090393961,1,False,2229,22,7,121,1572340811,,3,11,10,1.0,0,,1.1818181818181819
96,5090359797,129,True,1669,22,7,86,1572338543,,3,13,4,1.0,0,,0.5384615384615384
97,5090301179,132,True,1829,22,7,75,1572334438,,4,8,4,1.0,0,,1.0
98,5090243791,129,False,3572,22,7,27,1572329920,,5,13,32,1.0,0,,2.8461538461538463
99,5084363432,2,False,2606,22,7,90,1571993298,,2,4,24,,0,,6.5
100,5084316039,2,True,2677,22,7,7,1571990098,,2,10,13,,0,,1.5
101,5084264154,131,False,2998,22,7,9,1571986352,,1,7,19,,0,,2.857142857142857
102,5083073716,132,True,2148,22,7,5,1571908522,,1,12,10,1.0,0,,0.9166666666666666
103,5083012510,132,False,3211,22,7,9,1571904285,,6,9,30,,0,,4.0
104,5082968857,129,False,2513,22,7,90,1571901104,,3,4,14,1.0,0,,4.25
105,5057129971,1,True,2084,22,7,96,1570353729,,1,5,15,1.0,0,,3.2
106,5057049816,129,False,2687,22,7,13,1570350384,,6,13,24,1.0,0,,2.3076923076923075
107,5053465208,1,False,2242,22,7,73,1570165499,,5,8,12,1.0,1,,2.125
108,5053416770,129,True,2169,22,7,57,1570162138,,1,8,12,1.0,0,,1.625
109,5053382996,2,True,1894,22,7,104,1570159603,,2,7,13,1.0,0,,2.142857142857143
110,5053334945,132,True,2815,22,7,98,1570156010,,11,7,9,1.0,0,,2.857142857142857
111,5053300519,129,True,2353,22,7,19,1570153235,,2,14,13,1.0,0,,1.0714285714285714
112,5042710920,131,False,2494,22,7,69,1569579304,,7,4,21,1.0,0,,7.0
113,5040010475,3,False,2764,22,7,99,1569416425,,9,6,10,,0,,3.1666666666666665
114,5035655205,130,False,2747,22,0,73,1569162370,,6,3,13,,0,,6.333333333333333
115,5035563216,4,False,2189,22,7,28,1569159696,,4,9,6,1.0,0,,1.1111111111111112
116,5034716169,129,False,1879,22,7,38,1569129315,,2,3,23,1.0,0,,8.333333333333334
117,5032809275,128,False,2861,22,0,62,1569044079,,16,10,25,,0,,4.1
118,5032758611,0,True,2162,22,0,98,1569041462,,16,7,16,1.0,0,,4.571428571428571
119,5032681874,128,False,3167,22,0,120,1569037028,,6,12,17,,0,,1.9166666666666667
120,5032635148,129,False,2444,22,0,14,1569034125,,4,7,23,1.0,0,,3.857142857142857
121,5031770796,3,True,2129,2,7,96,1568987986,,8,4,21,1.0,0,,7.25
122,5030426435,132,True,2989,22,7,96,1568907170,,7,8,21,,1,,3.5
123,5028516281,131,False,2817,22,7,96,1568804348,,12,5,27,1.0,0,,7.8
124,5027303365,1,False,2603,22,7,99,1568726856,,4,11,11,,0,,1.3636363636363635
125,5025662331,0,False,3175,22,7,33,1568634720,,3,18,17,,1,,1.1111111111111112
126,5024367071,3,True,2496,22,7,84,1568557028,,6,8,24,,0,,3.75
127,5023742027,131,True,2589,22,7,25,1568535953,,5,11,12,,1,,1.5454545454545454
128,5023543711,4,False,2745,22,7,111,1568528278,,5,13,24,,0,,2.230769230769231
129,5022898059,128,False,3004,22,0,58,1568487167,,12,4,13,1.0,0,,6.25
130,5022781267,131,False,2608,22,0,73,1568482137,,10,4,10,,0,,5.0
131,5022721830,131,False,1891,4,0,21,1568479854,,7,1,23,1.0,0,,30.0
132,5022607618,0,True,3415,4,0,3,1568475905,,5,5,24,,0,,5.8
133,5022487059,131,True,3146,4,0,30,1568472220,,4,12,19,,0,,1.9166666666666667
134,5022405243,130,False,1995,4,0,36,1568469849,,10,7,14,1.0,0,,3.4285714285714284
135,5022308667,129,False,2384,4,0,97,1568467005,,3,8,27,1.0,0,,3.75
136,5009774861,0,False,1619,4,0,94,1567827171,,1,4,9,,0,,2.5
137,4955909863,3,True,2037,4,0,129,1565327299,,9,5,23,1.0,0,,6.4
138,4955859246,0,False,2298,4,0,94,1565324719,,6,7,5,1.0,0,,1.5714285714285714
139,4952770679,1,False,2003,4,0,109,1565181896,,2,6,2,1.0,0,,0.6666666666666666
140,4928997650,2,False,2022,22,7,7,1564227023,21.0,0,3,3,1.0,3,1.0,1.0
141,4906592062,2,False,2369,4,0,81,1563268914,,9,7,8,1.0,0,,2.4285714285714284
142,4906539723,131,True,1891,4,0,114,1563266596,,7,10,7,1.0,0,,1.4
143,4906472222,128,False,2433,4,0,46,1563263530,,11,4,14,1.0,0,,6.25
144,4906420141,130,False,1986,4,0,93,1563261019,,7,5,12,1.0,0,,3.8
145,4883881020,3,False,776,4,0,44,1562264890,,0,2,0,1.0,2,,0.0
146,4881771191,128,False,2324,22,7,96,1562171599,,3,4,17,,2,,5.0
147,4864701736,131,False,2797,22,7,53,1561492982,,9,10,20,,0,,2.9
148,4864646623,1,True,2219,22,7,129,1561490031,,6,10,27,1.0,0,,3.3
149,4863288951,1,True,2192,22,7,5,1561443726,,5,9,19,,0,,2.6666666666666665
150,4862746975,0,True,2529,22,7,2,1561407852,,5,6,19,1.0,0,,4.0
151,4862692386,132,False,2429,22,7,16,1561404816,,5,6,18,1.0,0,,3.8333333333333335
152,4810823157,0,False,2678,22,0,55,1559640282,,3,12,20,1.0,0,,1.9166666666666667
153,4810723938,1,True,2324,22,0,44,1559637442,,20,5,13,,0,,6.6
154,4810588569,129,False,3521,22,0,1,1559633387,,19,7,16,,0,,5.0
155,4810397370,132,True,3752,22,0,69,1559626875,,14,9,43,1.0,0,,6.333333333333333
156,4810310226,4,True,2627,22,0,53,1559623724,,9,5,20,1.0,0,,5.8
157,4810231792,3,True,2445,22,0,67,1559620729,,8,1,31,1.0,0,,39.0
158,4810168794,131,False,2443,4,0,32,1559617925,,14,4,23,1.0,0,,9.25
159,4810109831,132,False,1971,22,0,82,1559615214,,11,6,4,1.0,0,,2.5
160,4798422389,2,True,3265,22,0,96,1559281371,,13,6,20,1.0,0,,5.5
161,4798350431,130,True,2045,22,0,114,1559278727,,8,10,5,1.0,0,,1.3
162,4798283045,130,False,2130,22,0,8,1559276132,,13,2,22,1.0,0,,17.5
163,4798201619,2,True,2659,22,0,56,1559272485,,16,3,12,1.0,0,,9.333333333333334
164,4798146016,3,True,2263,22,0,77,1559269787,,12,1,12,1.0,0,,24.0
165,4798092105,131,False,2337,22,0,5,1559266972,,4,6,22,,0,,4.333333333333333
166,4776149859,2,True,2178,22,0,78,1558594032,,9,1,16,1.0,0,,25.0
167,4776043764,132,False,2498,22,0,47,1558590818,,7,2,20,1.0,0,,13.5
168,4775952606,132,False,2369,22,0,64,1558587915,,4,3,20,,0,,8.0
169,4771989754,2,True,1966,2,7,106,1558452368,,21,0,7,,0,,inf
170,4771646130,129,False,3082,2,7,67,1558446257,,8,8,28,,0,,4.5
171,4769978013,4,False,1409,22,0,83,1558388050,,2,8,7,1.0,3,,1.125
172,4769904839,130,False,2753,22,0,16,1558384383,,5,8,23,1.0,0,,3.5
173,4769828487,3,True,2170,22,0,7,1558381124,,5,2,17,1.0,1,,11.0
174,4769759386,3,False,2150,22,0,106,1558378502,,8,7,7,,0,,2.142857142857143
175,4769703266,3,True,1448,22,0,10,1558376487,,19,1,6,1.0,0,,25.0
176,4769623757,130,False,2005,22,0,10,1558373900,,18,1,6,,0,,24.0
177,4769507067,131,True,2846,22,0,1,1558370457,21.0,15,1,5,,0,4.0,20.0
178,4769368909,2,True,3022,22,0,76,1558366958,,15,2,15,,0,,15.0
179,4750400606,2,True,2624,22,0,106,1557832131,,12,6,14,,0,,4.333333333333333
180,4750308183,2,True,1553,22,0,10,1557829952,,24,2,6,1.0,0,,15.0
